"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"WNA","Napakiak, AK: Napakiak Airport","Napakiak, AK","Alaska",
"PKA","Napaskiak, AK: Napaskiak Airport","Napaskiak, AK","Alaska",
"NKI","Naukiti, AK: Naukiti Airport","Naukiti, AK","Alaska",
"NEU","Nellie Juan, AK: Nellie Juan Airport","Nellie Juan, AK","Alaska",
"NLG","Nelson Lagoon, AK: Nelson Lagoon Airport","Nelson Lagoon, AK","Alaska",
"KNW","New Stuyahok, AK: New Stuyahok Airport","New Stuyahok, AK","Alaska",
"WWT","Newtok, AK: Newtok Airport","Newtok, AK","Alaska",
"NKV","Nichen Cove, AK: Nichin Cove Sea Plane Base","Nichen Cove, AK","Alaska",
"NME","Nightmute, AK: Nightmute Airport","Nightmute, AK","Alaska",
"NIB","Nikolai, AK: Nikolai Airport","Nikolai, AK","Alaska",
"IKO","Nikolski, AK: Nikolski Afs","Nikolski, AK","Alaska",
"RQI","Nixon Fork Mine, AK: Nixon Fork Mine Airport","Nixon Fork Mine, AK","Alaska",
"WTK","Noatak, AK: Noatak Airport","Noatak, AK","Alaska",
"OME","Nome, AK: Nome Airport","Nome, AK","Alaska",
"NNL","Nondalton, AK: Nondalton Airport","Nondalton, AK","Alaska",
"ORV","Noorvik, AK: Robert Curtis Memorial","Noorvik, AK","Alaska",
"OHC","Northeast Cape, AK: Northeast Cape Afs","Northeast Cape, AK","Alaska",
"ORT","Northway, AK: Northway Airport","Northway, AK","Alaska",
"NUI","Nuiqsut, AK: Nuiqsut Airport","Nuiqsut, AK","Alaska",
"NUL","Nulato, AK: Nulato Airport","Nulato, AK","Alaska",
"NUP","Nunapitchuk, AK: Nunapitchuk Airport","Nunapitchuk, AK","Alaska",
"XWT","Nushagak Bay, AK: Nushagak Bay Airport","Nushagak Bay, AK","Alaska",
"OLH","Old Harbor, AK: Old Harbor Airport","Old Harbor, AK","Alaska",
"KOY","Olga Bay, AK: Olga Bay Sea Plane Base","Olga Bay, AK","Alaska",
"RHI","Rhinelander, WI: Rhinelander/Oneida County","Rhinelander, WI","Wisconsin",
"MFI","Marshfield, WI: Marshfield Municipal","Marshfield, WI","Wisconsin",
"AUW","Wausau/Marshfield, WI: Wausau Municipal","Wausau/Marshfield, WI","Wisconsin",
"CWA","Wausau/Marshfield, WI: Central Wisconsin","Wausau/Marshfield, WI","Wisconsin",
"STE","Wausau/Marshfield, WI: Stevens Point","Wausau/Marshfield, WI","Wisconsin",
"ISW","Wausau/Marshfield, WI: Wisconsin Rapids","Wausau/Marshfield, WI","Wisconsin",
"MFI","Marshfield, WI: Marshfield","Marshfield, WI","Wisconsin",
"LSE","La Crosse Wis./Winona, WI: La Crosse","La Crosse Wis./Winona, WI","Wisconsin",
"MTW","Manitowoc, WI: Manitowoc Airport","Manitowoc, WI","Wisconsin",
"/MT","Manitowoc/Sheboygan, WI: Manitowoc/Sheboyan","Manitowoc/Sheboygan, WI","Wisconsin",
"/SH","Oshkosh/Appleton, WI: /Sh Oshkosh/Appleton","Oshkosh/Appleton, WI","Wisconsin",
"OSH","Oshkosh, WI: Wittman Field","Oshkosh, WI","Wisconsin",
"PRI","Prairie Du Chien, WI: Prairie Du Chien Municipal","Prairie Du Chien, WI","Wisconsin",
"RIE","Rice Lake, WI: Rice Lake Airport","Rice Lake, WI","Wisconsin",
"SBM","Sheboygan, WI: Sheboygan Memorial","Sheboygan, WI","Wisconsin",
"SUE","Sturgeon Bay, WI: Sturgeon Bay","Sturgeon Bay, WI","Wisconsin",
"UES","Waukesha, WI: Waukesha County","Waukesha, WI","Wisconsin",
"/AU","Wausau/Stevens Point, WI: Stevens Point Municipal","Wausau/Stevens Point, WI","Wisconsin",
"ISW","Wisconsin Rapids, WI: Alexander Field","Wisconsin Rapids, WI","Wisconsin",
"ANB","Anniston, AL: Anniston/Calhoun County","Anniston, AL","Alabama",
"AUO","Auburn, AL: Auburn/Opelika","Auburn, AL","Alabama",
"BHM","Birmingham, AL: Birmingham Municipal","Birmingham, AL","Alabama",
"VZI","Brundidge, AL: Brundidge Municipal","Brundidge, AL","Alabama",
"DCU","Decatur, AL: Pryor Field","Decatur, AL","Alabama",
"DHN","Dothan, AL: Dothan Regional","Dothan, AL","Alabama",
"EUF","Eufaula, AL: Weedon Field","Eufaula, AL","Alabama",
"JZW","Evergreen, AL: Middleton Field","Evergreen, AL","Alabama",
"MSL","Muscle Shoals, AL: Northwest Alabama Regional","Muscle Shoals, AL","Alabama",
"GAD","Gadsden, AL: Gadsen Municipal","Gadsden, AL","Alabama",
"VWA","Headland, AL: Headland Municipal","Headland, AL","Alabama",
"HSV","Huntsville, AL: Huntsville International  Carl Jones","Huntsville, AL","Alabama",
"HUA","Huntsville, AL: Redstone Army Air Field","Huntsville, AL","Alabama",
"XWU","Marion, AL: Perry County","Marion, AL","Alabama",
